Drug,Rule_Num,Rule_Header,Matched_Cancers,Potential_New_Cancers,Full_Text_Length
9.1.1.Exemestane(如Aromasin Sugar Coated Tablets)：（88/11/1、90/10/1、99/6/1、105/8/1),1.,1.限停經後或卵巢切除後，且女性荷爾蒙受體(estrogen receptor)陽性之晚期乳癌病患，經使用tamoxifen無效後，方可使用。,乳癌,陽性之晚期乳癌,71
9.1.1.Exemestane(如Aromasin Sugar Coated Tablets)：（88/11/1、90/10/1、99/6/1、105/8/1),2.,2.具有雌激素受體陽性之停經婦女，使用tamoxifen至少兩年之高危險早期侵犯性乳癌的輔助治療，且不得與tamoxifen或其他aromatase inhibitor併用。使用時需同時符合下列規定：(105/8/1),乳癌,之高危險早期侵犯性乳癌,169
9.1.2.Anastrozole(如Arimidex)：（88/6/1、92/3/1、93/6/1）,1.,1.停經後雌激素接受器為陽性或不清楚之局部晚期或轉移性乳癌第一線治療。(92/3/1),乳癌,之局部晚期或轉移性乳癌,43
9.1.2.Anastrozole(如Arimidex)：（88/6/1、92/3/1、93/6/1）,2.,2.停經後婦女晚期乳癌，雌激素接受器為陰性，但曾對tamoxifen有陽性反應者。(92/3/1),乳癌,停經後婦女晚期乳癌,49
9.1.2.Anastrozole(如Arimidex)：（88/6/1、92/3/1、93/6/1）,3.,3.停經後婦女罹患早期侵犯性乳癌，經外科手術切除後且雌激素接受器為陽性，且有血栓栓塞症或子宮內膜異常增生的高危險群，而無法使用tamoxifen治療者。(93/6/1),乳癌,婦女罹患早期侵犯性乳癌,203
9.1.3.Letrozole：（88/11/1、90/10/1、92/3/1、97/11/1、98/11/1、99/9/1、102/8/1),1.,1.接受抗動情激素治療失敗的自然或人工停經後之末期乳癌病人之治療、停經後之局部晚期或轉移性乳癌婦女患者之第一線治療用藥。,乳癌,"之局部晚期或轉移性乳癌, 或人工停經後之末期乳癌",60
9.1.3.Letrozole：（88/11/1、90/10/1、92/3/1、97/11/1、98/11/1、99/9/1、102/8/1),2.,2.停經後且荷爾蒙接受體呈陽性，有淋巴結轉移之乳癌病人，作為tamoxifen治療五年後的延伸治療，且不得與其他aromatase inhibitor併用。使用時需同時符合下列規定：（97/11/1）,乳癌,有淋巴結轉移之乳癌,149
9.1.3.Letrozole：（88/11/1、90/10/1、92/3/1、97/11/1、98/11/1、99/9/1、102/8/1),3.,3.停經後且荷爾蒙接受體呈陽性之早期乳癌病人，經外科手術切除後之輔助治療，且不得與tamoxifen或其他aromatase inhibitor併用。使用時需同時符合下列規定：(98/11/1、99/9/1、102/8/1),乳癌,接受體呈陽性之早期乳癌,173
9.1.3.Letrozole：（88/11/1、90/10/1、92/3/1、97/11/1、98/11/1、99/9/1、102/8/1),4.,4.病歷上應詳細記載手術資料、病理報告(應包含ER、PR之檢測結果且無復發現象)及用藥紀錄(如tamoxifen使用五年證明)。,無符合,無,64
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),一般,(無標題),無符合,無,1
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),1.,1.卵巢癌患者。,卵巢癌,無,8
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),2.,2.腎功能不佳(CCr<60)或曾作單側或以上腎切除之惡性腫瘤患者使用。,無符合,或以上腎切除之惡性腫瘤,36
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),3.,3.與pembrolizumab及paclitaxel併用於轉移性鱗狀非小細胞肺癌的第一線治療，患者需符合免疫檢查點抑制劑之藥品給付規定。(112/12/1),肺癌,轉移性鱗狀非小細胞肺癌,79
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),4.,4.與atezolizumab及etoposide併用，或與durvalumab及etoposide併用於擴散期(extensive stage)小細胞肺癌成人患者時，患者需符合免疫檢查點抑制劑之藥品給付規定。(112/12/1、114/2/1),肺癌,無,123
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),5.,5.與pembrolizumab及pemetrexed(限使用Pexeda、Apeta、Pemetrexed Sandoz或Alimta Avos)併用，或與atezolizumab及bevacizumab(限使用Alymsys、Avastin、Abevmy、Vegzelma或Mvasi)、pacl,肺癌,常的非鱗狀非小細胞肺癌,251
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),6.,6.與pembrolizumab及paclitaxel併用於早期三陰性乳癌(第II期至第IIIb期，cT1c N1-2或T2-4 N0-2)病人的術前前導性治療用藥，病人需符合免疫檢查點抑制劑之藥品給付規定。(114/6/1),乳癌,併用於早期三陰性乳癌,113
